id,AA,b,bs,el,f,g,j,k,l,tf,room,living,toilet,p
1493,1,1,0.41409999999999997,1,8,17.0,1,1,1,14,3,1,2,518344
1494,5,2,0.5813,0,2,27.0,1,1,1,4,3,2,2,281412
1495,1,1,0.5503,1,9,5.0,3,1,0,25,2,2,1,643861
1496,1,1,0.4524,1,14,27.0,1,1,1,14,2,2,1,480291
1497,1,1,0.8189,1,6,28.0,2,1,0,14,2,1,1,261540
1498,1,1,0.7681999999999999,1,5,29.0,1,1,0,24,2,1,1,372542
1499,5,1,0.4509,1,3,27.0,1,1,1,12,2,2,1,271987
1500,1,1,0.45990000000000003,1,11,6.0,1,1,1,21,2,2,1,339643
1501,1,2,1.0,0,2,47.0,2,1,0,4,4,2,2,435074
1502,1,1,0.4537,1,5,3.0,2,1,1,12,2,2,1,446205
1504,1,1,0.4996,1,22,11.0,1,1,2,24,4,2,2,431263
1506,1,1,0.5179,1,6,14.0,9,1,1,14,2,2,1,576658
1509,5,1,0.7020000000000001,1,15,24.0,8,1,1,25,3,2,2,279904
1510,1,1,0.5084000000000001,1,11,27.0,2,1,1,16,4,2,2,355286
1511,1,4,0.7412000000000001,1,4,29.0,2,1,0,8,3,2,2,462496
1513,1,1,0.49119999999999997,1,3,1.0,1,1,1,13,3,2,2,434377
1514,1,1,0.4686,1,13,14.0,1,1,1,14,1,2,2,518612
